TIME,Base,Minor,Rssi,,,,,Base,21,,
28:15.4,21,44,-61,,,,,,,,
28:15.4,21,21,-58,,,,,,,,
28:15.4,21,46,-69,,,,,,,,
28:15.4,21,23,-57,,,,,,,,
28:15.4,21,25,-58,,,,,,,,
28:15.5,21,33,-67,,,,,,,,
28:15.5,21,39,-67,,,,,,,,
28:15.5,21,57,-66,,,,,,,,
28:15.5,21,35,-79,,,,,,,,
28:15.5,21,64,-70,,,,,,,,
28:15.5,21,22,-49,,,,,,,,
28:15.5,21,40,-82,,,,,,,,
28:15.5,21,61,-68,,,,,,,,
28:15.5,21,28,-66,,,,,,,,
28:15.5,21,27,-78,,,,,,,,
28:15.5,21,24,-53,,,,,,,,
28:15.5,21,23,-58,,,,,,,,
28:15.5,21,48,-77,,,,,,,,
28:15.6,21,57,-66,,,,,,,,
28:15.6,21,36,-75,,,,,,,,
28:15.6,21,64,-69,,,,,,,,
28:15.6,21,22,-49,,,,,,,,
28:15.6,21,61,-67,,,,,,,,
28:15.6,21,28,-66,,,,,,,,
28:15.6,21,27,-78,,,,,,,,
28:15.6,21,24,-53,,,,,,,,
28:15.6,21,48,-77,,,,,,,,
28:15.7,21,30,-75,,,,,,,,
28:15.7,21,32,-70,,,,,,,,
28:15.7,21,57,-66,,,,,,,,
28:15.7,21,56,-68,,,,,,,,
28:15.7,21,37,-64,,,,,,,,
28:15.7,21,58,-75,,,,,,,,
28:15.7,21,22,-49,,,,,,,,
28:15.7,21,44,-61,,,,,,,,
28:15.7,21,60,-69,,,,,,,,
28:15.7,21,40,-79,,,,,,,,
28:15.7,21,29,-66,,,,,,,,
28:15.7,21,24,-53,,,,,,,,
28:15.7,21,46,-67,,,,,,,,
28:15.7,21,23,-58,,,,,,,,
28:15.7,21,48,-76,,,,,,,,
28:15.7,21,25,-59,,,,,,,,
28:15.8,21,34,-74,,,,,,,,
28:15.8,21,37,-64,,,,,,,,
28:15.8,21,58,-75,,,,,,,,
28:15.8,21,42,-61,,,,,,,,
28:15.8,21,64,-69,,,,,,,,
28:15.8,21,22,-49,,,,,,,,
28:15.8,21,21,-57,,,,,,,,
28:15.8,21,40,-79,,,,,,,,
28:15.8,21,61,-68,,,,,,,,
28:15.8,21,27,-75,,,,,,,,
28:15.8,21,29,-66,,,,,,,,
28:15.8,21,23,-58,,,,,,,,
28:15.8,21,25,-59,,,,,,,,
28:15.9,21,54,-75,,,,,,,,
28:15.9,21,39,-68,,,,,,,,
28:15.9,21,57,-66,,,,,,,,
28:15.9,21,41,-53,,,,,,,,
28:15.9,21,44,-61,,,,,,,,
28:15.9,21,43,-64,,,,,,,,
28:15.9,21,62,-71,,,,,,,,
28:15.9,21,28,-66,,,,,,,,
28:15.9,21,24,-53,,,,,,,,
28:15.9,21,46,-67,,,,,,,,
28:15.9,21,45,-67,,,,,,,,
28:15.9,21,25,-59,,,,,,,,
28:16.0,21,31,-67,,,,,,,,
28:16.0,21,39,-68,,,,,,,,
28:16.0,21,56,-68,,,,,,,,
28:16.0,21,36,-79,,,,,,,,
