TIME,Base,Minor,Rssi,,,,,Base,25
29:50.6,25,64,-87,,,,,,
29:50.6,25,21,-56,,,,,,
29:50.6,25,60,-68,,,,,,
29:50.6,25,40,-70,,,,,,
29:50.6,25,28,-59,,,,,,
29:50.6,25,24,-54,,,,,,
29:50.6,25,46,-67,,,,,,
29:50.6,25,23,-71,,,,,,
29:50.6,25,45,-63,,,,,,
29:50.6,25,26,-57,,,,,,
29:50.6,25,47,-61,,,,,,
29:50.7,25,53,-67,,,,,,
29:50.7,25,55,-69,,,,,,
29:50.7,25,39,-73,,,,,,
29:50.7,25,38,-73,,,,,,
29:50.7,25,59,-67,,,,,,
29:50.7,25,63,-68,,,,,,
29:50.7,25,22,-58,,,,,,
29:50.7,25,60,-69,,,,,,
29:50.7,25,62,-65,,,,,,
29:50.7,25,40,-69,,,,,,
29:50.7,25,28,-59,,,,,,
29:50.7,25,24,-54,,,,,,
29:50.7,25,23,-73,,,,,,
29:50.8,25,32,-69,,,,,,
29:50.8,25,38,-74,,,,,,
29:50.8,25,34,-67,,,,,,
29:50.8,25,59,-67,,,,,,
29:50.8,25,21,-56,,,,,,
29:50.8,25,43,-70,,,,,,
29:50.8,25,60,-69,,,,,,
29:50.8,25,62,-65,,,,,,
29:50.8,25,40,-70,,,,,,
29:50.8,25,27,-53,,,,,,
29:50.8,25,24,-54,,,,,,
29:50.8,25,46,-66,,,,,,
29:50.8,25,23,-73,,,,,,
29:50.8,25,45,-63,,,,,,
29:50.8,25,48,-67,,,,,,
29:50.8,25,26,-56,,,,,,
29:50.8,25,47,-61,,,,,,
29:50.9,25,55,-72,,,,,,
29:50.9,25,38,-73,,,,,,
29:50.9,25,35,-77,,,,,,
29:50.9,25,56,-69,,,,,,
29:50.9,25,59,-67,,,,,,
29:50.9,25,42,-65,,,,,,
29:50.9,25,41,-67,,,,,,
29:50.9,25,22,-58,,,,,,
29:50.9,25,44,-62,,,,,,
29:50.9,25,21,-56,,,,,,
29:50.9,25,60,-69,,,,,,
29:50.9,25,24,-54,,,,,,
29:50.9,25,26,-56,,,,,,
29:50.9,25,25,-53,,,,,,
29:51.0,25,53,-72,,,,,,
29:51.0,25,31,-68,,,,,,
29:51.0,25,30,-68,,,,,,
29:51.0,25,33,-69,,,,,,
29:51.0,25,39,-72,,,,,,
29:51.0,25,38,-74,,,,,,
29:51.0,25,57,-72,,,,,,
29:51.0,25,36,-72,,,,,,
29:51.0,25,42,-68,,,,,,
29:51.0,25,28,-59,,,,,,
29:51.0,25,27,-53,,,,,,
29:51.0,25,24,-54,,,,,,
29:51.0,25,23,-73,,,,,,
29:51.0,25,25,-53,,,,,,
29:51.1,25,31,-68,,,,,,
29:51.1,25,33,-68,,,,,,
29:51.1,25,54,-73,,,,,,
29:51.1,25,57,-71,,,,,,
29:51.1,25,59,-70,,,,,,
29:51.1,25,37,-64,,,,,,
29:51.1,25,42,-65,,,,,,
29:51.1,25,44,-62,,,,,,
29:51.1,25,21,-56,,,,,,
29:51.1,25,60,-69,,,,,,
29:51.1,25,62,-64,,,,,,
