TIME,Base,Minor,Rssi,,,
28:14.9,21,21,-58,,,
28:14.9,21,49,-67,,,
28:14.9,21,28,-66,,,
28:14.9,21,27,-74,,,
28:14.9,21,24,-53,,,
28:14.9,21,46,-73,,,
28:14.9,21,26,-63,,,
28:15.0,21,53,-67,,,
28:15.0,21,31,-70,,,
28:15.0,21,39,-69,,,
28:15.0,21,35,-79,,,
28:15.0,21,56,-69,,,
28:15.0,21,52,-69,,,
28:15.0,21,41,-52,,,
28:15.0,21,44,-60,,,
28:15.0,21,24,-53,,,
28:15.0,21,45,-68,,,
28:15.0,21,47,-65,,,
28:15.0,21,25,-58,,,
28:15.1,21,30,-72,,,
28:15.1,21,55,-66,,,
28:15.1,21,39,-70,,,
28:15.1,21,36,-75,,,
28:15.1,21,58,-77,,,
28:15.1,21,22,-50,,,
28:15.1,21,21,-57,,,
28:15.1,21,60,-68,,,
28:15.1,21,28,-68,,,
28:15.1,21,29,-66,,,
28:15.1,21,24,-54,,,
28:15.1,21,45,-69,,,
28:15.1,21,25,-59,,,
28:15.2,21,31,-68,,,
28:15.2,21,55,-68,,,
28:15.2,21,32,-68,,,
28:15.2,21,57,-66,,,
28:15.2,21,56,-66,,,
28:15.2,21,59,-70,,,
28:15.2,21,22,-49,,,
28:15.2,21,43,-70,,,
28:15.2,21,60,-67,,,
28:15.2,21,45,-69,,,
28:15.3,21,53,-66,,,
28:15.3,21,33,-67,,,
28:15.3,21,32,-68,,,
28:15.3,21,59,-67,,,
28:15.3,21,58,-75,,,
28:15.3,21,52,-67,,,
28:15.3,21,22,-49,,,
28:15.3,21,44,-61,,,
28:15.3,21,28,-66,,,
28:15.3,21,24,-53,,,
28:15.3,21,48,-80,,,
28:15.3,21,26,-62,,,
28:15.3,21,25,-59,,,
28:15.4,21,30,-73,,,
28:15.4,21,32,-67,,,
28:15.4,21,52,-67,,,
28:15.4,21,44,-61,,,
28:15.4,21,21,-58,,,
28:15.4,21,46,-69,,,
28:15.4,21,23,-57,,,
28:15.4,21,25,-58,,,
28:15.5,21,33,-67,,,
28:15.5,21,39,-67,,,
28:15.5,21,57,-66,,,
28:15.5,21,35,-79,,,
28:15.5,21,52,-70,,,
28:15.5,21,22,-49,,,
28:15.5,21,40,-82,,,
28:15.5,21,49,-68,,,
28:15.5,21,28,-66,,,
28:15.5,21,27,-78,,,
28:15.5,21,24,-53,,,
28:15.5,21,23,-58,,,
28:15.5,21,48,-77,,,
28:15.6,21,57,-66,,,
28:15.6,21,36,-75,,,
28:15.6,21,52,-69,,,
28:15.6,21,22,-49,,,
28:15.6,21,49,-67,,,
28:15.6,21,28,-66,,,
28:15.6,21,27,-78,,,
28:15.6,21,24,-53,,,
28:15.6,21,48,-77,,,
28:15.7,21,30,-75,,,
28:15.7,21,32,-70,,,
28:15.7,21,57,-66,,,
28:15.7,21,56,-68,,,
28:15.7,21,37,-64,,,
28:15.7,21,58,-75,,,
28:15.7,21,22,-49,,,
28:15.7,21,44,-61,,,
28:15.7,21,60,-69,,,
28:15.7,21,40,-79,,,
28:15.7,21,29,-66,,,
28:15.7,21,24,-53,,,
28:15.7,21,46,-67,,,
28:15.7,21,23,-58,,,
28:15.7,21,48,-76,,,
28:15.7,21,25,-59,,,
28:15.8,21,34,-74,,,
28:15.8,21,37,-64,,,
28:15.8,21,58,-75,,,
28:15.8,21,42,-61,,,
28:15.8,21,52,-69,,,
28:15.8,21,22,-49,,,
28:15.8,21,21,-57,,,
28:15.8,21,40,-79,,,
28:15.8,21,49,-68,,,
28:15.8,21,27,-75,,,
28:15.8,21,29,-66,,,
28:15.8,21,23,-58,,,
28:15.8,21,25,-59,,,
28:15.9,21,54,-75,,,
28:15.9,21,39,-68,,,
28:15.9,21,57,-66,,,
28:15.9,21,41,-53,,,
28:15.9,21,44,-61,,,
28:15.9,21,43,-64,,,
28:15.9,21,50,-71,,,
28:15.9,21,28,-66,,,
28:15.9,21,24,-53,,,
28:15.9,21,46,-67,,,
28:15.9,21,45,-67,,,
28:15.9,21,25,-59,,,
28:16.0,21,31,-67,,,
28:16.0,21,39,-68,,,
28:16.0,21,56,-68,,,
28:16.0,21,36,-79,,,
28:16.0,21,58,-75,,,
28:16.0,21,52,-68,,,
28:16.0,21,41,-53,,,
28:16.0,21,22,-50,,,
28:16.0,21,40,-77,,,
28:16.0,21,49,-68,,,
28:16.0,21,24,-53,,,
28:16.0,21,48,-75,,,
28:16.1,21,55,-66,,,
28:16.1,21,33,-66,,,
28:16.1,21,39,-67,,,
28:16.1,21,34,-73,,,
28:16.1,21,59,-67,,,
28:16.1,21,36,-78,,,
28:16.1,21,42,-61,,,
28:16.1,21,41,-52,,,
28:16.1,21,60,-67,,,
28:16.1,21,40,-76,,,
28:16.1,21,29,-66,,,
28:16.1,21,24,-53,,,
28:16.1,21,45,-67,,,
28:16.1,21,25,-58,,,
28:16.2,21,33,-68,,,
28:16.2,21,32,-67,,,
28:16.2,21,54,-76,,,
28:16.2,21,59,-67,,,
28:16.2,21,36,-78,,,
28:16.2,21,41,-52,,,
28:16.2,21,60,-67,,,
28:16.2,21,49,-68,,,
28:16.2,21,26,-60,,,
28:16.3,21,39,-68,,,
28:16.3,21,38,-71,,,
28:16.3,21,57,-68,,,
28:16.3,21,56,-68,,,
28:16.3,21,59,-68,,,
28:16.3,21,41,-52,,,
28:16.3,21,29,-66,,,
28:16.3,21,24,-53,,,
28:16.3,21,48,-73,,,
28:16.3,21,26,-60,,,
28:16.3,21,25,-58,,,
28:16.4,21,55,-66,,,
28:16.4,21,59,-68,,,
28:16.4,21,36,-78,,,
28:16.4,21,41,-52,,,
28:16.4,21,21,-57,,,
28:16.4,21,50,-71,,,
28:16.4,21,48,-72,,,
28:16.5,21,30,-72,,,
28:16.5,21,33,-67,,,
28:16.5,21,34,-74,,,
28:16.5,21,52,-67,,,
28:16.5,21,41,-51,,,
28:16.5,21,22,-49,,,
28:16.5,21,21,-56,,,
28:16.5,21,43,-64,,,
28:16.5,21,24,-52,,,
28:16.5,21,45,-66,,,
28:16.5,21,48,-73,,,
28:16.5,21,26,-60,,,
28:16.6,21,33,-67,,,
28:16.6,21,32,-67,,,
28:16.6,21,54,-78,,,
28:16.6,21,39,-67,,,
28:16.6,21,59,-68,,,
28:16.6,21,58,-74,,,
28:16.6,21,42,-61,,,
28:16.6,21,60,-67,,,
28:16.6,21,50,-71,,,
28:16.6,21,40,-77,,,
28:16.6,21,28,-67,,,
28:16.6,21,24,-53,,,
28:16.6,21,46,-68,,,
28:16.6,21,48,-73,,,
28:16.6,21,25,-58,,,
28:16.7,21,31,-70,,,
28:16.7,21,55,-67,,,
28:16.7,21,32,-67,,,
28:16.7,21,39,-68,,,
28:16.7,21,38,-70,,,
28:16.7,21,59,-69,,,
28:16.7,21,37,-65,,,
28:16.7,21,58,-74,,,
28:16.7,21,22,-49,,,
28:16.7,21,21,-56,,,
28:16.7,21,43,-64,,,
28:16.7,21,40,-75,,,
28:16.7,21,49,-67,,,
28:16.7,21,45,-66,,,
28:16.9,21,53,-67,,,
28:16.9,21,31,-69,,,
28:16.9,21,33,-68,,,
28:16.9,21,39,-67,,,
28:16.9,21,38,-70,,,
28:16.9,21,37,-65,,,
28:16.9,21,52,-68,,,
28:16.9,21,41,-52,,,
28:16.9,21,51,-67,,,
28:16.9,21,43,-64,,,
28:16.9,21,49,-67,,,
28:16.9,21,28,-66,,,
28:16.9,21,46,-68,,,
28:16.9,21,23,-58,,,
28:16.9,21,45,-66,,,
28:16.9,21,26,-60,,,
28:16.9,21,47,-66,,,
28:17.0,21,34,-75,,,
28:17.0,21,36,-79,,,
28:17.0,21,22,-50,,,
28:17.0,21,43,-64,,,
28:17.0,21,40,-77,,,
28:17.0,21,49,-67,,,
28:17.0,21,27,-74,,,
28:17.0,21,29,-66,,,
28:17.0,21,24,-51,,,
28:17.0,21,46,-68,,,
28:17.0,21,47,-65,,,
28:17.1,21,53,-67,,,
28:17.1,21,54,-79,,,
28:17.1,21,38,-70,,,
28:17.1,21,34,-76,,,
28:17.1,21,56,-66,,,
28:17.1,21,58,-77,,,
28:17.1,21,41,-52,,,
28:17.1,21,22,-50,,,
28:17.1,21,21,-55,,,
28:17.1,21,43,-65,,,
28:17.1,21,49,-68,,,
28:17.1,21,24,-53,,,
28:17.1,21,48,-70,,,
28:17.1,21,47,-65,,,
28:17.2,21,53,-68,,,
28:17.2,21,38,-70,,,
28:17.2,21,34,-75,,,
28:17.2,21,56,-66,,,
28:17.2,21,36,-79,,,
28:17.2,21,58,-79,,,
28:17.2,21,41,-52,,,
28:17.2,21,44,-62,,,
28:17.2,21,21,-56,,,
28:17.2,21,43,-67,,,
28:17.2,21,60,-68,,,
28:17.2,21,50,-73,,,
28:17.2,21,23,-57,,,
28:17.2,21,48,-71,,,
28:17.2,21,47,-65,,,
28:17.2,21,25,-60,,,
28:17.3,21,31,-69,,,
28:17.3,21,33,-69,,,
28:17.3,21,38,-69,,,
28:17.3,21,56,-67,,,
28:17.3,21,37,-64,,,
28:17.3,21,36,-77,,,
28:17.3,21,41,-53,,,
28:17.3,21,44,-62,,,
28:17.3,21,50,-74,,,
28:17.3,21,46,-67,,,
28:17.3,21,23,-57,,,
28:17.3,21,48,-74,,,
28:17.4,21,31,-69,,,
28:17.4,21,33,-69,,,
28:17.4,21,38,-70,,,
28:17.4,21,35,-80,,,
28:17.4,21,56,-68,,,
28:17.4,21,41,-52,,,
28:17.4,21,22,-50,,,
28:17.4,21,44,-62,,,
28:17.4,21,21,-56,,,
28:17.4,21,40,-78,,,
28:17.4,21,27,-78,,,
28:17.4,21,48,-77,,,
28:17.4,21,47,-64,,,
28:17.4,21,25,-60,,,
28:17.5,21,55,-67,,,
28:17.5,21,33,-71,,,
28:17.5,21,38,-69,,,
28:17.5,21,56,-68,,,
28:17.5,21,59,-67,,,
28:17.5,21,41,-52,,,
28:17.5,21,44,-61,,,
28:17.5,21,21,-57,,,
28:17.5,21,29,-66,,,
