"no","user_no","board_id","block_id","major","minor","rssi","reg_dt"
"270","1","B003","3","1","11","-69","2021-06-15 02:49:59.977000"
"271","1","B003","4","1","12","-77","2021-06-15 02:49:59.977000"
"272","1","B003","2","1","10","-83","2021-06-15 02:49:59.977000"
"273","1","B003","1","1","9","-88","2021-06-15 02:50:00.061000"
"274","1","B003","3","1","11","-69","2021-06-15 02:50:00.061000"
"275","1","B003","4","1","12","-77","2021-06-15 02:50:00.061000"
"276","1","B003","2","1","10","-83","2021-06-15 02:50:00.061000"
"277","1","B003","1","1","9","-88","2021-06-15 02:50:00.127000"
"278","1","B003","3","1","11","-69","2021-06-15 02:50:00.127000"
"279","1","B003","4","1","12","-77","2021-06-15 02:50:00.127000"
"280","1","B003","2","1","10","-83","2021-06-15 02:50:00.127000"
"281","1","B003","1","1","9","-88","2021-06-15 02:50:00.242000"
"282","1","B003","3","1","11","-69","2021-06-15 02:50:00.242000"
"283","1","B003","4","1","12","-77","2021-06-15 02:50:00.242000"
"284","1","B003","2","1","10","-83","2021-06-15 02:50:00.242000"
"285","1","B003","1","1","9","-88","2021-06-15 02:50:00.349000"
"286","1","B003","3","1","11","-69","2021-06-15 02:50:00.349000"
"287","1","B003","4","1","12","-77","2021-06-15 02:50:00.349000"
"288","1","B003","2","1","10","-83","2021-06-15 02:50:00.349000"
"289","1","B003","1","1","9","-88","2021-06-15 02:50:00.463000"
"290","1","B003","3","1","11","-69","2021-06-15 02:50:00.463000"
"291","1","B003","4","1","12","-77","2021-06-15 02:50:00.463000"
"292","1","B003","2","1","10","-83","2021-06-15 02:50:00.463000"
"293","1","B003","1","1","9","-88","2021-06-15 02:50:00.560000"
"294","1","B003","3","1","11","-69","2021-06-15 02:50:00.560000"
"295","1","B003","4","1","12","-77","2021-06-15 02:50:00.560000"
"296","1","B003","2","1","10","-83","2021-06-15 02:50:00.560000"
"297","1","B003","1","1","9","-88","2021-06-15 02:50:00.779000"
"298","1","B003","1","1","9","-88","2021-06-15 02:50:00.786000"
"299","1","B003","3","1","11","-69","2021-06-15 02:50:00.779000"
"300","1","B003","3","1","11","-69","2021-06-15 02:50:00.786000"
"301","1","B003","4","1","12","-77","2021-06-15 02:50:00.779000"
"302","1","B003","4","1","12","-77","2021-06-15 02:50:00.786000"
"303","1","B003","2","1","10","-83","2021-06-15 02:50:00.779000"
"304","1","B003","2","1","10","-83","2021-06-15 02:50:00.786000"
"305","1","B003","1","1","9","-88","2021-06-15 02:50:00.926000"
"306","1","B003","3","1","11","-69","2021-06-15 02:50:00.926000"
"307","1","B003","4","1","12","-77","2021-06-15 02:50:00.926000"
"308","1","B003","2","1","10","-83","2021-06-15 02:50:00.926000"
"309","1","B003","1","1","9","-88","2021-06-15 02:50:00.962000"
"310","1","B003","3","1","11","-69","2021-06-15 02:50:00.962000"
"311","1","B003","4","1","12","-77","2021-06-15 02:50:00.962000"
"312","1","B003","2","1","10","-83","2021-06-15 02:50:00.962000"
